year,month,anomaly_00N_30N,anomaly_00N_90N,anomaly_20N_90N,anomaly_20S_20N,anomaly_30N_60N,anomaly_30S_00N,anomaly_60N_90N,anomaly_60S_30S,anomaly_60S_60N,anomaly_90S_00N,anomaly_90S_20S,anomaly_90S_60S,anomaly_90S_90N
1880.0,1.0,-0.178744,-0.229654,-0.258817,-0.281944,-0.330486,-0.306404,0.159805,-0.271346,-0.270254,-0.271346,-0.232075,0.257093,-0.253923
1880.0,2.0,-0.37088,-0.522076,-0.64215,-0.317439,-0.80761,-0.349642,0.059175,-0.235473,-0.407093,-0.279683,-0.267053,0.317206,-0.391315
1880.0,3.0,-0.105133,-0.565912,-0.776972,-0.20287,-1.17749,-0.324257,-0.531588,-0.270643,-0.418596,-0.286517,-0.306291,0.177541,-0.414214
1880.0,4.0,0.057406,-0.315584,-0.384931,-0.263938,-0.742063,-0.42576,-0.03939,-0.236437,-0.325199,-0.314239,-0.292665,0.171368,-0.314851
1880.0,5.0,-0.253853,-0.166718,-0.110329,-0.411978,-0.090095,-0.582532,-0.122668,-0.419199,-0.337764,-0.474741,-0.464354,0.132315,-0.327781
1880.0,6.0,-0.3922,-0.2561,-0.179149,-0.537478,-0.118775,-0.634043,-0.390502,-0.511076,-0.424031,-0.55513,-0.524346,0.234817,-0.416228
1880.0,7.0,-0.534094,-0.30637,-0.20342,-0.538212,-0.147666,-0.496219,0.245084,-0.397945,-0.396664,-0.442546,-0.415027,0.194014,-0.377962
1880.0,8.0,-0.464751,-0.317623,-0.253499,-0.337947,-0.264818,-0.230335,0.549919,-0.337081,-0.321342,-0.276336,-0.303816,0.219201,-0.296433
1880.0,9.0,-0.426421,-0.309816,-0.301469,-0.282138,-0.301959,-0.26792,0.773917,-0.341088,-0.332095,-0.293334,-0.317829,0.309011,-0.301428
1880.0,10.0,-0.27729,-0.413056,-0.475591,-0.305819,-0.493858,-0.35683,-1.164034,-0.38105,-0.376906,-0.364826,-0.370684,0.072093,-0.388977
1880.0,11.0,-0.500754,-0.661479,-0.783176,-0.343229,-0.836504,-0.28882,-0.791804,-0.385329,-0.4871,-0.329414,-0.345411,0.227835,-0.485846
1880.0,12.0,-0.371213,-0.400536,-0.495143,-0.205902,-0.373535,-0.21427,-1.208787,-0.440989,-0.347939,-0.308752,-0.356847,0.272175,-0.352461
1881.0,1.0,-0.024469,-0.212856,-0.253425,-0.216462,-0.338489,-0.304788,-1.15819,-0.401825,-0.268031,-0.33387,-0.34563,0.270118,-0.275329
1881.0,2.0,-0.038846,-0.288808,-0.399157,-0.089213,-0.449015,-0.26086,-1.694659,-0.364604,-0.274455,-0.307274,-0.366922,0.180666,-0.298082
1881.0,3.0,-0.066074,-0.271811,-0.391779,-0.043383,-0.383925,-0.16793,-1.85344,-0.287596,-0.22124,-0.216045,-0.288547,0.233323,-0.243641
1881.0,4.0,-0.003429,-0.177648,-0.279945,-0.006639,-0.323118,-0.157291,-0.811037,-0.260273,-0.1802,-0.206503,-0.265269,0.119278,-0.191521
1881.0,5.0,-0.187191,-0.187896,-0.204283,-0.098288,-0.113243,-0.169367,-0.97989,-0.39426,-0.208203,-0.265961,-0.363432,0.083353,-0.225558
1881.0,6.0,-0.097197,-0.304993,-0.369597,-0.174181,-0.425092,-0.311921,-0.841681,-0.434698,-0.321176,-0.372344,-0.423626,-0.001592,-0.336247
